round,kickoff,matchCentreUrl,home,away
21,2026-07-24T10:00:00Z,/draw/nrl-premiership/2026/round-21/rabbitohs-v-storm/,Rabbitohs,Storm
21,2026-07-25T05:00:00Z,/draw/nrl-premiership/2026/round-21/raiders-v-wests-tigers/,Raiders,Wests Tigers
21,2026-07-25T07:30:00Z,/draw/nrl-premiership/2026/round-21/bulldogs-v-warriors/,Bulldogs,Warriors
21,2026-07-25T09:35:00Z,/draw/nrl-premiership/2026/round-21/cowboys-v-broncos/,Cowboys,Broncos
21,2026-07-26T04:00:00Z,/draw/nrl-premiership/2026/round-21/dragons-v-titans/,Dragons,Titans
21,2026-07-26T06:05:00Z,/draw/nrl-premiership/2026/round-21/sea-eagles-v-sharks/,Sea Eagles,Sharks
22,2026-07-30T09:50:00Z,/draw/nrl-premiership/2026/round-22/cowboys-v-roosters/,Cowboys,Roosters
22,2026-07-31T08:00:00Z,/draw/nrl-premiership/2026/round-22/dragons-v-dolphins/,Dragons,Dolphins
22,2026-07-31T10:00:00Z,/draw/nrl-premiership/2026/round-22/storm-v-bulldogs/,Storm,Bulldogs
22,2026-08-01T05:00:00Z,/draw/nrl-premiership/2026/round-22/titans-v-warriors/,Titans,Warriors
22,2026-08-01T07:30:00Z,/draw/nrl-premiership/2026/round-22/panthers-v-raiders/,Panthers,Raiders
22,2026-08-01T09:35:00Z,/draw/nrl-premiership/2026/round-22/broncos-v-knights/,Broncos,Knights
22,2026-08-02T04:00:00Z,/draw/nrl-premiership/2026/round-22/sharks-v-rabbitohs/,Sharks,Rabbitohs
22,2026-08-02T06:05:00Z,/draw/nrl-premiership/2026/round-22/wests-tigers-v-eels/,Wests Tigers,Eels
23,2026-08-06T09:50:00Z,/draw/nrl-premiership/2026/round-23/titans-v-cowboys/,Titans,Cowboys
23,2026-08-07T08:00:00Z,/draw/nrl-premiership/2026/round-23/warriors-v-panthers/,Warriors,Panthers
23,2026-08-07T10:00:00Z,/draw/nrl-premiership/2026/round-23/roosters-v-bulldogs/,Roosters,Bulldogs
23,2026-08-08T05:00:00Z,/draw/nrl-premiership/2026/round-23/storm-v-sea-eagles/,Storm,Sea Eagles
23,2026-08-08T07:30:00Z,/draw/nrl-premiership/2026/round-23/dolphins-v-broncos/,Dolphins,Broncos
23,2026-08-08T09:35:00Z,/draw/nrl-premiership/2026/round-23/rabbitohs-v-eels/,Rabbitohs,Eels
23,2026-08-09T04:00:00Z,/draw/nrl-premiership/2026/round-23/raiders-v-knights/,Raiders,Knights
23,2026-08-09T06:05:00Z,/draw/nrl-premiership/2026/round-23/dragons-v-sharks/,Dragons,Sharks
24,2026-08-13T09:50:00Z,/draw/nrl-premiership/2026/round-24/panthers-v-roosters/,Panthers,Roosters
24,2026-08-14T08:00:00Z,/draw/nrl-premiership/2026/round-24/sea-eagles-v-dolphins/,Sea Eagles,Dolphins
24,2026-08-14T10:00:00Z,/draw/nrl-premiership/2026/round-24/bulldogs-v-rabbitohs/,Bulldogs,Rabbitohs
24,2026-08-15T05:00:00Z,/draw/nrl-premiership/2026/round-24/sharks-v-raiders/,Sharks,Raiders
24,2026-08-15T07:30:00Z,/draw/nrl-premiership/2026/round-24/eels-v-cowboys/,Eels,Cowboys
24,2026-08-15T09:35:00Z,/draw/nrl-premiership/2026/round-24/broncos-v-warriors/,Broncos,Warriors
24,2026-08-16T04:00:00Z,/draw/nrl-premiership/2026/round-24/knights-v-titans/,Knights,Titans
24,2026-08-16T06:05:00Z,/draw/nrl-premiership/2026/round-24/wests-tigers-v-dragons/,Wests Tigers,Dragons
25,2026-08-20T09:50:00Z,/draw/nrl-premiership/2026/round-25/storm-v-panthers/,Storm,Panthers
25,2026-08-21T08:00:00Z,/draw/nrl-premiership/2026/round-25/raiders-v-broncos/,Raiders,Broncos
25,2026-08-21T10:00:00Z,/draw/nrl-premiership/2026/round-25/dolphins-v-eels/,Dolphins,Eels
25,2026-08-22T05:00:00Z,/draw/nrl-premiership/2026/round-25/knights-v-sea-eagles/,Knights,Sea Eagles
25,2026-08-22T07:30:00Z,/draw/nrl-premiership/2026/round-25/rabbitohs-v-warriors/,Rabbitohs,Warriors
25,2026-08-22T09:35:00Z,/draw/nrl-premiership/2026/round-25/dragons-v-bulldogs/,Dragons,Bulldogs
25,2026-08-23T04:00:00Z,/draw/nrl-premiership/2026/round-25/titans-v-sharks/,Titans,Sharks
25,2026-08-23T06:05:00Z,/draw/nrl-premiership/2026/round-25/roosters-v-wests-tigers/,Roosters,Wests Tigers
26,2026-08-27T09:50:00Z,/draw/nrl-premiership/2026/round-26/broncos-v-storm/,Broncos,Storm
26,2026-08-28T08:00:00Z,/draw/nrl-premiership/2026/round-26/sea-eagles-v-dragons/,Sea Eagles,Dragons
26,2026-08-28T10:00:00Z,/draw/nrl-premiership/2026/round-26/panthers-v-bulldogs/,Panthers,Bulldogs
26,2026-08-29T05:00:00Z,/draw/nrl-premiership/2026/round-26/titans-v-rabbitohs/,Titans,Rabbitohs
26,2026-08-29T07:30:00Z,/draw/nrl-premiership/2026/round-26/roosters-v-dolphins/,Roosters,Dolphins
26,2026-08-29T09:35:00Z,/draw/nrl-premiership/2026/round-26/cowboys-v-wests-tigers/,Cowboys,Wests Tigers
26,2026-08-30T04:00:00Z,/draw/nrl-premiership/2026/round-26/warriors-v-knights/,Warriors,Knights
26,2026-08-30T06:05:00Z,/draw/nrl-premiership/2026/round-26/eels-v-sharks/,Eels,Sharks
27,2026-09-03T09:50:00Z,/draw/nrl-premiership/2026/round-27/bulldogs-v-broncos/,Bulldogs,Broncos
27,2026-09-04T08:00:00Z,/draw/nrl-premiership/2026/round-27/titans-v-dolphins/,Titans,Dolphins
27,2026-09-04T10:00:00Z,/draw/nrl-premiership/2026/round-27/rabbitohs-v-roosters/,Rabbitohs,Roosters
27,2026-09-05T05:00:00Z,/draw/nrl-premiership/2026/round-27/warriors-v-sea-eagles/,Warriors,Sea Eagles
27,2026-09-05T07:30:00Z,/draw/nrl-premiership/2026/round-27/cowboys-v-raiders/,Cowboys,Raiders
27,2026-09-05T09:35:00Z,/draw/nrl-premiership/2026/round-27/sharks-v-storm/,Sharks,Storm
27,2026-09-06T04:00:00Z,/draw/nrl-premiership/2026/round-27/dragons-v-eels/,Dragons,Eels
27,2026-09-06T06:05:00Z,/draw/nrl-premiership/2026/round-27/panthers-v-wests-tigers/,Panthers,Wests Tigers
